fips,slaves,urbanicity,prison_rate,blackpop,prison_type,unemp,mhi,pm,rentburd,gini,singpar
06047,0,small/mid,528,3.632574412471839,Has Federal,11.4,42879,10.372265547730482,33.6,45,14.390005371974821
06053,0,small/mid,559.67,3.3565786664769086,Has State,8.1,60047,7.9456340064272135,33.3,44.3,10.400657290609443
06057,0,rural,163.7,0.8234671605264898,Has State,5.4,57627,6.812072197196537,35.3,41.8,8.482324258431532
06061,0,suburban,290.95,2.066324258528041,No Prison,5.1,76203,8.759756093860155,32.3,42.1,9.037948185351368
06063,0,rural,405.15,1.6746196092554244,No Prison,10.3,46813,7.048221153668574,30.1,41.7,8.452689333921136
06067,0,urban,659.67,11.299496181018041,Has State,6,58735,10.146327271804086,33.2,42.4,11.374124610355507
06071,0,suburban,589.71,8.994674321888551,No Prison,6.4,53526,11.242676843509818,35.7,41.6,13.055091763217236
06075,0,urban,152.49,5.3838257279805815,No Prison,3.6,90527,9.47861637921028,27.5,50.8,4.422242393345187
06077,0,small/mid,617.26,7.937929801865595,Has State,8.9,53341,9.736881598186995,34.5,43.5,12.448987448987449
06079,0,small/mid,340.79,2.5423050872767416,Has State,4.7,61761,8.603538774027196,34.3,45.9,6.7914895269155355
06081,0,suburban,238.57,2.74426938282665,No Prison,3.4,101133,8.881493962494957,30.6,46.4,6.70775149615275
06083,0,small/mid,399.1,2.4101425708637247,Has Federal,5.3,63049,8.200371520869039,33.7,47.8,8.707907262179154
06085,0,urban,310.53,2.808995199963341,No Prison,4.1,102191,9.323885784055854,29.2,45.2,7.744267386807946
06087,0,small/mid,289.96,1.5188738928722059,No Prison,7.5,64841,8.293897599862774,36.3,46.4,8.942663444470583
06089,0,small/mid,1040.61,1.5117380965152245,Has State,7.8,45943,6.911087263431874,35.3,45.1,11.442366423315203
06091,0,rural,342.08,1.0832383124287344,No Prison,8.7,47535,6.568411,34.2,42.6,8.464836345428324
06093,0,rural,787.67,2.067163605625144,No Prison,9.4,37447,6.157026187495802,35.8,44.5,9.627643428108874
06095,0,small/mid,349.4,15.87114718659424,Has State,6.1,67202,8.28031650372155,33.6,39.9,12.276719919825503
06097,0,small/mid,286.14,2.1349548795067395,No Prison,4.5,66463,6.83228583336436,33.4,43.9,8.185821993898417
06099,0,small/mid,467.2,3.155894194054472,No Prison,9.5,51949,10.10913143544257,34.5,43.5,11.673046412652043
06101,0,small/mid,551.46,2.6500016510913715,No Prison,10.7,50810,8.357562426887915,32.9,42.3,9.746639939535342
06103,0,rural,936.93,1.1140488230613241,Has State,7.9,40292,6.95887762125,32.3,44.7,15.264934040408468
06105,0,rural,648.78,1.4472863381160324,Has State,7.8,37669,5.618026975754035,33.1,45.9,9.79904092047249
06107,0,small/mid,760.54,1.5505569658884404,Has State,11.6,42637,12.941613847658964,33.3,44.9,14.43803156672732
06109,0,rural,753.98,3.079002703514569,Has State,7,53136,7.506133697509283,33.8,46.2,8.235187942782366
06113,0,suburban,484.01,2.944145469131263,No Prison,6.5,58766,8.533703323403344,35.4,45.8,8.035553959418207
06115,0,small/mid,805.88,4.313332498225396,No Prison,9.3,46500,8.194323577750403,34.4,41.5,12.537288349229025
08041,0,small/mid,751.09,7.339435441553908,No Prison,4.6,60050,5.8810709915336155,30.4,40.5,9.164332229781351
08075,0,rural,732.85,4.980660921490127,Has State,3.1,46306,6.279567186593318,28.6,43.1,7.667858561779897
08081,0,rural,942.95,0.942945810455956,No Prison,4.6,59173,5.6404023748431396,28.4,38,9.813365442504516
09001,0,small/mid,NA,11.691905321513426,No Prison,5.4,86297,9.582777221378574,32.5,54,8.157910963127389
09003,0,urban,NA,14.036776465212542,Has State,5.9,69260,9.332868456324762,30.4,45.3,10.11099456582932
09005,0,rural,NA,1.7453263487176942,No Prison,5.2,70847,8.306831377224913,29.4,43,6.759787101829087
09007,0,suburban,NA,5.383075990967008,No Prison,4.9,82878,9.0989969758028,29.5,40.2,7.378533501120285
